SWR,1,45-2041.00,"Graders and Sorters, Agricultural Products",Y
RWS,1,37-3011.00,Landscaping and Groundskeeping Workers,Y
SRW,1,47-5011.00,"Derrick Operators, Oil and Gas",Y
SIW,1,45-4021.00,Fallers,Y
SRW,1,47-2043.00,Floor Sanders and Finishers,Y
RSW,1,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Y
SIW,1,45-4022.00,Logging Equipment Operators,Y
SRW,1,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",Y
IRW,1,47-2161.00,Plasterers and Stucco Masons,Y
SRW,1,47-5051.00,"Rock Splitters, Quarry",Y
SRW,1,47-5071.00,"Roustabouts, Oil and Gas",Y
WRA,2,47-2121.00,Glaziers,Y
WIS,2,43-5041.00,"Meter Readers, Utilities",Y
SWA,2,51-8099.01,Biofuels Processing Technicians,Y
SWA,2,51-8013.03,Biomass Plant Technicians,Y
SWI,2,47-2021.00,Brickmasons and Blockmasons,Y
SWI,2,51-8091.00,Chemical Plant and System Operators,Y
SWI,2,51-2021.00,"Coil Winders, Tapers, and Finishers",Y
SWR,2,47-5081.00,Helpers--Extraction Workers,Y
SWR,2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining",Y
IWA,2,49-9094.00,Locksmiths and Safe Repairers,Y
SWR,2,53-4011.00,Locomotive Engineers,Y
SWI,2,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",Y
SWI,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Y
SWI,2,49-3043.00,Rail Car Repairers,Y
SWI,2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Y
SWA,2,51-2061.00,Timing Device Assemblers and Adjusters,Y
SWA,2,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",Y
SIW,2,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Y
SRW,2,35-2021.00,Food Preparation Workers,Y
SRW,2,51-9022.00,"Grinding and Polishing Workers, Hand",Y
SRW,2,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Y
SAW,2,47-2231.00,Solar Photovoltaic Installers,Y
WAI,3,15-1211.00,Computer Systems Analysts,Y
WARc,3,51-9071.00,Jewelers and Precious Stone and Metal Workers,Y
WIS,3,19-4012.01,Precision Agriculture Technicians,Y
SWA,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Y
SWR,3,49-3011.00,Aircraft Mechanics and Service Technicians,Y
SWA,3,17-3011.00,Architectural and Civil Drafters,Y
AWS,3,17-3027.01,Automotive Engineering Technicians,Y
